imdb_url,title,director,year,imdb_rating,genre_1,genre_2,runtime_hrs,runtime_min,budget,gross_worldwide,contributor_alias,dsst_section,contributor_rating,notes
https://www.imdb.com/title/tt0095705/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_naked%2520gun,The Naked Gun: From the Files of Police Squad!,David Zucker,1988,7.6,comedy,crime,1,25,"12,000,000.00","78,756,177.00",Joe,12:00:00 PM,8,
https://www.imdb.com/title/tt0097216/,Do The Right Thing,Spike Lee,1989,8,comedy,drama,2,0,"6,500,000.00","37,295,445.00",fredner,9:00:00 AM,9,Watched on a plane
https://www.imdb.com/title/tt0099685/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_goodfellas,Goodfellas,Martin Scorcese,1990,8.7,crime,drama,2,25,"25,000,000.00","47,054,093.00",Joe,12:00:00 PM,10,Favorite movie ever
https://www.imdb.com/title/tt0102492/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_my%2520girl,My Girl,Howard Zieff,1991,6.9,family,comedy,1,42,"17,000,000.00","121,000,000.00",aw,10:30:00 AM,8,
https://www.imdb.com/title/tt0107048/,Groundhog Day,Harold Ramis,1993,8,comedy,romance,1,41,"14,600,000.00","71,108,778.00",gracie,12:00:00 PM,7.5,whimsical
https://www.imdb.com/title/tt0107290/?ref_=nv_sr_srsg_1_tt_7_nm_1_in_0_q_jura,Jurassic Park,Steven Spielberg,1993,8.2,action,sci-fi,2,2,"63,000,000.00","1,104,379,926.00",gloria,10:30:00 AM,9,
https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6,Schindler's List,Steven Spielberg,1993,9,history,drama,3,15,"22,000,000.00","322,161,245.00",spider,9:00:00 AM,8,Watched at home
https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11,Forrest Gump,Robert Zemeckis,1994,8.8,romance,drama,2,22,"55,000,000.00","678,226,465.00",spider,9:00:00 AM,10,Watched at home
https://www.imdb.com/title/tt0110357/?ref_=chttp_t_36,The Lion King,Roger Allers,1994,8.5,adventure,animation,1,28,"45,000,000.00","981,586,438.00",Keyli,9:00:00 AM,3,
https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1,The Shawshank Redemption,Frank Darabont,1994,9.3,drama,drama,2,22,"25,000,000.00","29,331,551.00",spider,9:00:00 AM,9,Watched at home
https://www.imdb.com/title/tt0111161/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_shawsh,The Shawshank Redemption,Frank Darabont,1994,9.3,drama,thriller,2,22,"25,000,000.00","73,300,000.00",aw,10:30:00 AM,9.5,
https://www.imdb.com/title/tt0114369/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_se7en,Se7en,David Fincher,1995,8.6,crime,thriller,2,7,"33,000,000.00","327,333,559.00",kay,9:00:00 AM,8.7,
https://www.imdb.com/title/tt0114814/,The Usual Suspects,Bryan Singer,1995,8.5,gangster,heist,1,46,"6,000,000.00","23,341,568.00",Jason,12:00:00 PM,9.7,Get's better each time you watch it
https://www.imdb.com/title/tt0117571/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_screa,Scream,Wes Craven,1996,7.4,horror,mystery,1,51,"14,000,000.00","173,046,663.00",anika,9:00:00 AM,8,
https://www.imdb.com/title/tt0117705/?ref_=fn_al_tt_1,Space Jam,Joe Pytka,1996,6.5,sci-fi,adventure,1,28,"80,000,000.00","230,594,962.00",dema,9:00:00 AM,6,
https://www.imdb.com/title/tt0117802/?ref_=fn_al_tt_1,Swingers,Jon Favreau,1996,7.2,comedy,drama,1,36,"200,000.00","4,555,020.00",holden,9:00:00 AM,6,
https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26,Life Is Beautiful,Roberto Benigni,1997,8.6,comedy,history,1,56,"20,000,000.00","230,099,013.00",spider,9:00:00 AM,10,Watched at home
https://www.imdb.com/title/tt0120382,The Truman Show,Peter Weir,1998,8.2,comedy,drama,1,43,"60,000,000.00","264,118,712.00",fredner,12:00:00 PM,9.3,
https://www.imdb.com/title/tt0120737/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_lord%2520of%2520the%2520,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,8.9,fantasy,adventure,2,58,"93,000,000.00","887,681,857.00",Gretchen,12:00:00 PM,10,This trilogy are my favorite movies of all time
https://www.imdb.com/title/tt0121766/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_star%2520wars%2520reve,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,2023,8.6,animation,action,2,20,"150,000,000.00","690,824,738.00",Gretchen,12:00:00 PM,10,Stunning to see in theaters 
https://www.imdb.com/title/tt0125439/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_notting%2520hill,Notting Hill,Roger Michell,1999,7.2,romance,comedy,2,4,"42,000,000.00","363,992,308.00",Lara,12:00:00 PM,9,
https://www.imdb.com/title/tt0126029/,Shrek,Andrew Adamson,2001,7.9,comedy,fantasy,1,30,"60,000,000.00","488,628,188.00",kayla,10:30:00 AM,10,
https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16,The Matrix,Lana and Lily Wachowski,1999,8.7,action,sci-fi,2,16,"63,000,000.00","467,840,449.00",nomar,9:00:00 AM,9,
https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13,Fight Club,David Fincher,1999,8.8,drama,,2,19,"63,000,000.00","101,321,009.00",Frank,10:30:00 AM,10,HOW THIS IS NOT EVERYONE'S FAVORITE MOVIE IS BESIDE ME
